"year","open","close","period","next_open","cum_days","G_men","G_sip","O_uni","G_sac","G_rubp","G_rubw","P_obl","N_dut","G_cal","G_cra","G_glu","G_tru","G_bul","G_fal","temp_K","temp_oC"
2011,"2011-07-08","2011-07-21",13,1,1284,3.43,5.14,10.29,22.29,35.71,29.43,1.43,4.86,4.86,8.29,0.86,1.14,0,0,302.688568115234,29.5385681152344
2011,"2011-07-22","2011-08-08",17,6,1302,1.33,7.11,5.33,12.44,22.89,7.78,1.33,4.22,3.33,3.56,0.22,1.11,0.22,0,303.289445665148,30.1394456651476
2011,"2011-08-14","2011-08-27",13,1,1321,3.43,6.43,3.43,11,30.43,22.57,0.14,1,5.57,11,0.14,0.43,0,0,303.947854178292,30.7978541782924
2011,"2011-08-28","2011-09-10",13,1,1335,0,20.86,3.14,36.57,52.86,42,0,0.29,5.14,3.43,0.57,2,0,0,303.100714547294,29.9507145472936
2011,"2011-09-11","2011-09-24",13,1,1349,4.57,13.14,24.57,195.43,190.57,215.14,0.57,5.14,4.86,5.14,6.29,4.86,0,0,302.424998692104,29.2749986921038
2011,"2011-09-25","2011-10-08",13,1,1363,0.57,20.29,4.29,39.43,10.57,22.86,0,0.86,13.71,1.71,3.71,1.14,0,0,302.578571864537,29.4285718645369
2011,"2011-10-09","2011-10-22",13,1,1377,11.43,6,3.71,77.43,177.14,238,0.86,9.71,7.71,2.29,25.14,2,0,0,301.248565673828,28.0985656738281
2011,"2011-10-23","2011-10-29",6,1,1384,2.86,9.14,1.14,95.43,46.86,13.71,1.14,5.14,6.29,0.57,5.14,0,0,0,300.188568115234,27.0385681152344
2011,"2011-10-30","2011-11-05",6,1,1391,2.57,3.43,0.29,14.57,9.14,8.57,2.86,5.14,10.29,0.57,1.43,4.29,0,0,299.138571602958,25.9885716029576
2011,"2011-11-06","2011-11-12",6,1,1398,13.43,3.14,2.86,8.29,10.57,10,24.57,18.86,9.14,0.57,1.43,0.57,0,0,298.454275948661,25.3042759486607
