"year","open","close","period","next_open","cum_days","G_men","G_sip","O_uni","G_sac","G_rubp","G_rubw","P_obl","N_dut","G_cal","G_cra","G_glu","G_tru","G_bul","G_fal"
2008,2008-09-25,2008-10-01,6,1,261,0.29,31.14,5.43,9.14,15.14,0.86,14.29,22.86,9.43,1.71,2.29,0.29,0.86,0
2008,2008-10-02,2008-10-08,6,1,268,1.14,16.57,8.86,8,39.14,1.43,9.71,20,9.43,1.43,4.29,0,0.29,0
2008,2008-10-09,2008-10-15,6,1,275,6,11.43,5.43,24.86,5.14,2.29,7.14,11.71,11.43,1.14,2.57,0,0,0.29
2008,2008-10-16,2008-10-22,6,4,282,7.14,5.43,5.43,9.14,6,1.14,5.43,4,5.71,0,2.86,0,0,0
2008,2008-10-26,2008-11-01,6,1,292,6,45.43,2.57,27.14,12.57,0.57,20,22,7.14,10,3.43,0,0.29,0
2008,2008-11-02,2008-11-08,6,1,299,5.14,14.86,2.29,16,4,1.71,68.57,30.29,8,8.57,9.14,0,0,0
2008,2008-11-09,2008-11-15,6,1,306,44,45.14,18.29,38.29,11.43,5.14,177.71,36,14.29,1.14,6.86,0,0.57,0
2008,2008-11-16,2008-11-22,6,1,313,34.86,19.43,6.29,33.71,11.43,2.86,125.14,72,18.29,0,5.14,0,0.57,0.57
2008,2008-11-23,2008-11-29,6,1,320,9.71,84,2.86,42.86,8,1.14,305.14,49.14,15.43,1.14,3.43,0,5.14,0
2008,2008-11-30,2008-12-06,6,1,327,12.57,33.14,2.86,54.86,16,2.86,322.86,99.43,41.71,1.14,6.29,0,47.43,16.57
2008,2008-12-07,2008-12-13,6,1,334,4,16.57,1.71,28.57,2.86,0.57,76,64.57,19.43,1.14,0.57,0,9.14,4.57
2008,2008-12-14,2008-12-20,6,1,341,3.43,12,1.14,18.86,2.86,3.43,120,72.57,37.71,1.14,12,4,12.57,10.29
2008,2008-12-21,2008-12-27,6,1,348,1.71,39.43,1.71,27.43,14.29,6.29,97.14,67.43,108,0.57,2.29,24,24,68.57
2008,2008-12-28,2009-01-03,6,1,355,0.57,22.86,1.71,9.14,4.57,0.57,53.71,42.29,89.14,0.57,3.43,85.14,6.86,6.86
2009,2009-01-04,2009-01-07,3,2,359,2,7,0,4,1,0,8,10,40,0,3,107,3,3
2009,2009-01-09,2009-01-15,6,1,367,1.43,3.43,1.71,32.86,8.86,2.57,3.71,10,19.71,1.14,0,138.86,0.29,0
2009,2009-01-16,2009-01-22,6,1,374,5.71,12,2.29,42.86,48,18.29,8,25.14,30.86,0,4,257.71,0,0
2009,2009-01-23,2009-01-29,6,1,381,4,10,5.71,11.43,25.14,10.29,4.29,7.14,6.29,0.57,1.71,53.43,0.29,0.29
2009,2009-01-30,2009-02-05,6,1,388,14.86,40,19.43,40.57,68,8.57,35.43,30.86,54.29,1.71,2.86,546.86,0,0
2009,2009-02-06,2009-02-12,6,1,395,41.71,22.86,20,13.14,36.57,17.71,42.86,37.71,32.57,4,4.57,254.29,0,0.57
2009,2009-02-13,2009-02-19,6,1,402,48,8,5.71,30.29,103.43,37.71,118.86,101.14,22.86,0.57,32.57,62.86,7.43,0
2009,2009-02-20,2009-02-26,6,1,409,4.86,84.29,3.71,13.14,35.14,6.57,12,24,13.71,4,2.57,60.29,0,0
2009,2009-02-27,2009-03-05,6,1,416,6.57,19.71,8.57,23.71,65.71,29.71,9.43,25.43,58.57,0.29,8.29,35.43,11.14,0
2009,2009-03-06,2009-03-12,6,8,423,28.29,27.71,13.14,48.86,106.57,54.57,8.29,26,22.57,0,2.86,15.43,1.43,0
2009,2009-03-20,2009-03-26,6,1,437,7.43,20.29,4.57,10.86,17.43,6.86,0.57,3.71,35.43,1.43,0.86,27.14,0.57,0
2009,2009-03-27,2009-04-02,6,8,444,2.57,7.71,3.14,7.14,25.71,17.71,1.14,3.14,9.14,0,0.29,4.86,0,0
2009,2009-04-10,2009-04-16,6,1,458,21.14,10.86,6,64.29,33.71,8.29,8.29,8.57,11.14,0.86,0,10.29,0.57,0
2009,2009-04-17,2009-04-23,6,1,465,7.14,42.57,8.29,39.71,28.29,6.57,7.71,9.14,36,4.86,0.29,14.57,0.29,0
2009,2009-04-24,2009-04-30,6,8,472,0.57,7.71,1.14,4,6.57,1.71,1.14,1.71,6,0.86,0,4,0,0
2009,2009-05-08,2009-05-14,6,1,486,5.43,22,12,26.57,53.71,9.14,6.29,3.71,12.86,1.14,0.57,5.43,0,0
2009,2009-05-15,2009-05-21,6,1,493,2.86,11.71,6,17.14,22.86,4.86,2.57,2.57,12.86,1.14,1.14,6,0.29,0
2009,2009-05-22,2009-05-26,4,124,498,0.4,14,2.8,8,28.8,3.2,1.2,1.2,6.8,1.6,0.8,5.2,0,0
2009,2009-09-27,2009-10-03,6,1,628,1.43,0.57,3.71,2.57,4,0.29,0,0.57,1.43,1.71,0.29,0,0.29,0
2009,2009-10-04,2009-10-10,6,1,635,17.71,1.14,1.43,2.57,15.71,9.43,0.29,1.14,13.14,5.43,0.57,0.57,0,0
2009,2009-10-11,2009-10-17,6,8,642,12.57,7.14,0.29,7.43,30,14.57,0,3.14,6.86,2,0.57,0,0,0.86
2009,2009-10-25,2009-10-31,6,1,656,4.86,3.43,0,5.71,10.29,21.71,0.29,4.86,16.29,0.57,2.29,0.29,0,0
2009,2009-11-01,2009-11-07,6,1,663,6.29,3.71,0.86,6.57,6.86,3.71,1.71,12,9.43,0.57,2.29,0.29,0,0
2009,2009-11-08,2009-11-14,6,8,670,5.14,3.14,1.14,3.14,1.14,1.14,2.57,7.14,4,0.86,3.43,0,0,0
2009,2009-11-22,2009-11-28,6,1,684,13.71,8.57,3.14,2.29,2.57,2.86,69.14,42.86,10,1.43,0.29,0,0.86,0.29
2009,2009-11-29,2009-12-05,6,8,691,30.86,6,0.29,3.43,2.29,0.57,50.86,69.14,8,2.29,0,0.29,0.29,0.57
2009,2009-12-13,2009-12-19,6,1,705,1.14,12,1.14,1.71,1.14,3.43,38.29,76,26.29,0.57,1.14,0,3.43,17.71
2009,2009-12-20,2009-12-26,6,1,712,0.86,7.71,0,1.14,0,0.57,7.71,28.57,39.43,1.43,0,3.14,2.86,3.71
2009,2009-12-27,2010-01-02,6,8,719,5.14,4.57,0,1.14,2.29,3.43,46.29,57.71,187.43,2.86,2.29,22.86,28,20.57
2010,2010-01-10,2010-01-16,6,1,733,2.29,4,0.57,5.14,1.71,1.71,42.86,34.86,33.71,0.57,3.43,277.14,1.71,13.14
2010,2010-01-17,2010-01-23,6,1,740,0,2.29,0,2.29,0,0,22.29,38.86,18.29,0,9.14,253.71,0.57,6.29
2010,2010-01-24,2010-02-06,13,22,754,10.57,2,1.14,1.71,1.14,4.86,22,24,17.43,0,7.71,451.14,1.71,1.43
2010,2010-02-28,2010-03-06,6,4,782,13.71,6,1.14,7.71,2.57,6.57,27.43,15.71,28.86,3.14,4.29,55.14,0.86,0
2010,2010-03-10,2010-03-23,13,1,799,4,14.86,1.14,5.14,6,20,42.86,49.43,88.57,0.57,11.71,25.43,2.86,0
2010,2010-03-24,2010-04-06,13,1,813,10.57,13.43,1.14,9.43,11.43,25.71,31.43,38,275.71,3.14,21.71,31.43,13.43,0
2010,2010-04-07,2010-04-13,6,1,820,2.57,11.71,1.43,3.71,4.86,14.57,14.86,16.57,102,0.57,9.43,6.86,10.29,0
2010,2010-04-14,2010-04-20,6,1,827,2.86,14.86,2.29,9.71,66.86,50.86,8,18.29,114.29,9.71,12.57,76.57,16.57,0
2010,2010-04-21,2010-04-27,6,1,834,8.57,34.29,4,22.29,100,111.43,12,18.29,61.14,7.43,10.29,6.86,1.14,0
2010,2010-04-28,2010-05-04,6,1,841,8.57,6.29,13.14,26.86,30.29,28.57,6.29,13.14,25.14,6.29,8.57,12,0,0
2010,2010-05-05,2010-05-11,6,1,848,0,1.43,2,4.86,3.71,4,0.57,1.71,9.71,5.71,0.29,3.71,0,0
2010,2010-05-12,2010-05-18,6,1,855,0.57,21.14,8.57,11.43,17.14,42.86,0,3.43,41.71,4.57,6.86,5.71,0,0
2010,2010-05-19,2010-05-25,6,1,862,0.29,4.29,2,3.14,5.71,13.71,0,0.86,20,7.71,3.43,2.57,0,0
2010,2010-05-26,2010-06-01,6,1,869,2.29,4.29,2.57,8.29,23.43,34.57,0,3.43,24.29,6.29,4.29,1.71,0,0
2010,2010-06-02,2010-06-08,6,1,876,0.57,4.57,1.43,4.29,18.29,31.43,0,3.43,10.57,4.57,6.86,0.57,0,0
2010,2010-06-09,2010-06-15,6,1,883,0,4,0,2.29,13.43,11.71,0,0.29,8.29,2.86,3.14,0.29,0.29,0
2010,2010-06-16,2010-06-22,6,1,890,0.86,4.86,2.86,6.86,25.43,25.43,0.57,1.71,18.29,2.86,2.57,0.29,0,0
2010,2010-06-23,2010-06-29,6,1,897,0.57,7.14,0.57,4.86,15.14,23.43,0.57,2.86,20,5.71,2,0.57,0.57,0
2010,2010-06-30,2010-07-06,6,1,904,1.14,3.43,2.29,9.14,82.29,36.57,0,4.57,14.29,8.57,1.71,2.29,0,0
2010,2010-07-07,2010-07-13,6,1,911,1.14,4,0.57,6.86,121.14,25.14,0,4.57,5.71,28,1.14,0.57,0,0
2010,2010-07-14,2010-07-24,10,1,922,0,6.91,1.45,4.91,44.36,19.82,0,3.82,7.82,3.27,0.91,1.09,0,0
2010,2010-07-25,2010-08-07,13,1,936,4,12.29,1.43,8,54.86,65.43,0.57,5.43,15.43,9.43,7.14,2,0.29,0
2010,2010-08-08,2010-08-21,13,1,950,1.71,4.43,0.71,1.57,10.43,7.43,0,0.86,6.14,3.14,0.71,0.29,0,0
2010,2010-08-22,2010-09-04,13,1,964,2.57,1.86,0.14,3.43,14.71,6,0,1,2.43,3.86,0.43,0.57,0,0
2010,2010-09-05,2010-09-18,13,3,978,1.71,4,2.57,9.14,29.71,36.86,0,0.57,3.14,2,1.71,0.29,0,0
2010,2010-09-21,2010-09-27,6,1,987,2,11.43,0,4,19.71,17.71,0,4.86,8.29,0.86,11.71,0,0,0
2010,2010-09-28,2010-10-04,6,1,994,28,4,2.86,39.43,37.71,47.43,0.57,16,5.14,0,9.14,0.57,0,0
2010,2010-10-05,2010-10-11,6,1,1001,10.86,29.14,2.29,20,43.43,42.86,2.29,23.43,10.29,2.86,29.71,1.71,0,0
2010,2010-10-12,2010-10-18,6,1,1008,11.71,16.86,3.71,9.14,36.29,23.71,4.57,20.86,12.29,4.86,8.86,0.57,0,0
2010,2010-10-19,2010-10-25,6,1,1015,58.29,16.57,6.29,17.14,29.14,15.43,5.71,20.57,8,2.86,2.29,0,0,0
2010,2010-10-26,2010-11-01,6,1,1022,104,2.29,2.29,8,30.86,38.86,10.29,17.71,6.29,0.57,1.14,1.14,0,0
2010,2010-11-02,2010-11-08,6,1,1029,21.71,24.29,1.14,10,35.43,23.43,5.14,11.43,7.43,1.71,0.86,0.29,0,0
2010,2010-11-09,2010-11-15,6,1,1036,10.86,12.86,2.29,6.57,32.29,41.43,15.43,14,4.57,0.57,2.57,0.29,0,0
2010,2010-11-16,2010-11-22,6,1,1043,45.71,21.14,1.14,16,40.57,59.43,60,25.71,5.14,0,1.71,0,0,0
2010,2010-11-23,2010-11-29,6,1,1050,60.57,2.86,0,4,10.86,17.14,41.14,36.57,2.29,1.71,0,0,0,0
2010,2010-11-30,2010-12-06,6,1,1057,12.29,8.86,0.29,0.86,4.57,24.57,29.14,24.86,2.29,0.86,0.86,0.29,0,0
2010,2010-12-07,2010-12-13,6,1,1064,14.29,21.71,0,6.29,25.14,63.43,48,22.29,11.43,0.57,1.14,2.29,0,4
2010,2010-12-14,2010-12-20,6,1,1071,14.86,10.29,1.71,6.29,18.86,66.29,168.57,35.43,24.57,0.57,5.71,2.86,2.29,120.57
2010,2010-12-21,2010-12-27,6,1,1078,17.71,16,0.57,6.29,15.43,30.29,178.29,55.43,34.86,0,6.29,30.86,2.86,284
2010,2010-12-28,2011-01-03,6,1,1085,6.86,12,0.57,4,7.43,12.57,73.14,53.71,30.86,0.57,4.57,46.29,0.57,33.14
2011,2011-01-04,2011-01-10,6,1,1092,2.29,4.57,0.57,1.71,2.29,6.29,32.57,18.29,10.29,0,1.71,82.29,0,16.57
2011,2011-01-11,2011-01-17,6,1,1099,6.86,9.14,0,1.71,2.86,6.29,25.14,33.71,13.71,1.14,0.57,108.57,0.57,30.29
2011,2011-01-18,2011-01-20,2,1,1102,1.14,1.71,0,0,0,1.14,6.86,2.86,2.86,0,0,154.86,0,2.29
2011,2011-01-21,2011-02-03,13,1,1116,7.14,2.29,0.29,1.71,0.57,4.57,22,12.29,28.29,0.29,3.43,412.29,0,3.71
2011,2011-02-04,2011-02-17,13,1,1130,2.29,5.43,0,1.43,0.86,5.14,26.29,12,24.86,0.29,1.14,535.14,0.29,0.29
2011,2011-02-18,2011-03-03,13,1,1144,8,22.57,1.14,9.71,9.71,20.57,82.86,43.71,79.14,0,7.14,108.57,1.14,0.29
2011,2011-03-04,2011-03-10,6,1,1151,1.71,11.43,2.86,6.29,14.29,14.29,15.43,14.29,104.57,1.71,2.29,153.14,0,0
2011,2011-03-11,2011-03-17,6,1,1158,0.29,7.14,0.86,0.57,1.71,2,0.57,0.29,29.43,0,1.14,5.43,0,0.29
2011,2011-03-18,2011-03-24,6,1,1165,9.71,6.29,9.71,26.86,55.43,34.29,13.14,17.14,27.43,0.57,0,14.29,0,0
2011,2011-03-25,2011-03-31,6,1,1172,4.86,8.86,12.57,18,28.29,13.43,12.29,11.71,12.29,2.86,0.86,14.86,0.29,0
2011,2011-04-01,2011-04-07,6,1,1179,0.86,21.14,2.86,3.43,16.29,7.43,1.71,8,7.43,12.57,0.86,5.43,0,0
2011,2011-04-08,2011-04-14,6,1,1186,1.14,8.86,3.71,11.43,30.57,29.14,4.29,11.14,7.14,8.57,2,4.86,0.86,0
2011,2011-04-15,2011-04-21,6,1,1193,7.14,6.57,4.86,9.43,25.71,12.29,10.57,25.43,2,2.29,1.14,3.14,0,0
2011,2011-04-22,2011-04-28,6,1,1200,8,3.14,14.29,19.43,33.43,7.14,10.29,15.71,8,10.29,0.86,8.29,0,0
2011,2011-04-29,2011-05-05,6,1,1207,1.14,4.86,4.57,5.43,10,2.57,1.43,7.71,4.29,1.14,0,4,0,0
2011,2011-05-06,2011-05-12,6,1,1214,1.14,12.29,5.14,14.57,42.29,42,2.57,8.86,14.29,0.57,4.29,2.57,0,0
2011,2011-05-13,2011-05-19,6,1,1221,3.43,7.43,6.57,7.71,33.43,27.14,8.86,20,6.86,4.57,3.71,8.86,0,0
2011,2011-05-20,2011-05-26,6,1,1228,2.29,3.71,4.29,12.29,32.57,23.71,3.43,7.71,8.57,1.71,1.71,2.57,0,0
2011,2011-05-27,2011-06-02,6,1,1235,2.57,8,4.29,5.14,22.57,20.57,5.14,9.71,8.29,1.43,1.71,1.71,0.29,0
2011,2011-06-03,2011-06-09,6,1,1242,0.57,20.57,7.43,7.43,35.43,40.57,2.29,5.14,37.71,2.29,7.43,1.71,0,0
2011,2011-06-10,2011-06-23,13,1,1256,16,8.57,13.14,25.43,28.29,15.14,4,8.86,10.29,4,1.43,5.71,0,0
2011,2011-06-24,2011-07-07,13,1,1270,9.43,6.86,8.57,18,21.43,12,1.14,5.71,5.14,5.43,1.43,3.43,0.29,0
2011,2011-07-08,2011-07-21,13,1,1284,3.43,5.14,10.29,22.29,35.71,29.43,1.43,4.86,4.86,8.29,0.86,1.14,0,0
2011,2011-07-22,2011-08-08,17,6,1302,1.33,7.11,5.33,12.44,22.89,7.78,1.33,4.22,3.33,3.56,0.22,1.11,0.22,0
2011,2011-08-14,2011-08-27,13,1,1321,3.43,6.43,3.43,11,30.43,22.57,0.14,1,5.57,11,0.14,0.43,0,0
2011,2011-08-28,2011-09-10,13,1,1335,0,20.86,3.14,36.57,52.86,42,0,0.29,5.14,3.43,0.57,2,0,0
2011,2011-09-11,2011-09-24,13,1,1349,4.57,13.14,24.57,195.43,190.57,215.14,0.57,5.14,4.86,5.14,6.29,4.86,0,0
2011,2011-09-25,2011-10-08,13,1,1363,0.57,20.29,4.29,39.43,10.57,22.86,0,0.86,13.71,1.71,3.71,1.14,0,0
2011,2011-10-09,2011-10-22,13,1,1377,11.43,6,3.71,77.43,177.14,238,0.86,9.71,7.71,2.29,25.14,2,0,0
2011,2011-10-23,2011-10-29,6,1,1384,2.86,9.14,1.14,95.43,46.86,13.71,1.14,5.14,6.29,0.57,5.14,0,0,0
2011,2011-10-30,2011-11-05,6,1,1391,2.57,3.43,0.29,14.57,9.14,8.57,2.86,5.14,10.29,0.57,1.43,4.29,0,0
2011,2011-11-06,2011-11-12,6,1,1398,13.43,3.14,2.86,8.29,10.57,10,24.57,18.86,9.14,0.57,1.43,0.57,0,0
2011,2011-11-13,2011-11-19,6,1,1405,36,4,3.43,6.29,18.86,25.71,37.14,25.71,5.71,1.14,6.29,0,0,0
2011,2011-11-20,2011-11-26,6,1,1412,19.43,38.86,3.43,35.43,52.57,59.43,23.43,28,6.29,0,4,0,0,0
2011,2011-11-27,2011-12-03,6,1,1419,2.57,9.14,2.86,11.71,9.14,7.43,7.71,6.29,2.29,0,1.14,0,0,0
2011,2011-12-04,2011-12-10,6,1,1426,22.29,16.57,2.29,33.14,26.29,41.71,24.57,62.86,13.14,0,6.86,0,0,0.57
2011,2011-12-11,2011-12-17,6,1,1433,19.43,8.57,6.86,18.86,25.71,25.14,42.86,35.43,6.29,1.14,2.86,1.14,0,4
2011,2011-12-18,2011-12-24,6,1,1440,9.71,39.43,11.43,33.71,14.29,28.57,28,25.71,18.86,2.29,2.86,2.86,0.57,101.71
2011,2011-12-25,2011-12-31,6,1,1447,4,78.29,2.29,12,9.71,9.71,13.14,21.71,16,0.57,0.57,7.43,0,44
2012,2012-01-01,2012-01-07,6,1,1454,4.57,22.29,2.29,8.57,12,14.86,8.57,26.29,23.43,0,4.57,7.43,0,49.14
2012,2012-01-08,2012-01-14,6,1,1461,3.71,5.71,1.14,7.14,6.86,9.43,5.71,12.86,8,0,1.71,17.43,0,10
2012,2012-01-15,2012-01-21,6,1,1468,8.57,12,4,16.57,17.71,24,18.86,17.71,6.86,0.57,5.14,74.29,0,21.14
2012,2012-01-22,2012-01-28,6,1,1475,1.43,5.71,1.71,7.43,5.14,11.71,9.14,10.29,7.43,0,2.86,52.86,0,12
2012,2012-01-29,2012-02-04,6,1,1482,0.57,0.57,0,2.86,1.14,2.57,0.86,1.71,4.29,0,0.29,20.29,0,2.57
2012,2012-02-05,2012-02-11,6,45,1489,0,0.57,0,0,0.29,0.57,0.57,0.57,1.14,0,0.29,3.14,0,0.57
2012,2012-03-27,2012-04-02,6,1,1540,2.57,10.29,2.57,8.57,8.57,2.29,1.14,7.43,28.57,2.86,0.57,37.14,0,0
2012,2012-04-03,2012-04-09,6,1,1547,12.86,19.43,5.71,6.29,5.71,4.57,3.43,6,45.43,2.29,0.86,18.86,0,0
2012,2012-04-10,2012-04-16,6,1,1554,11.43,60.57,22.86,27.43,40,50.86,8.57,18.86,81.14,2.86,8.57,44,0,0
2012,2012-04-17,2012-04-23,6,1,1561,0.86,39.43,2.86,8,27.71,23.71,0.57,5.71,27.14,2,1.71,14.29,0,0
2012,2012-04-24,2012-04-30,6,1,1568,2.86,29.71,19.43,21.14,46.86,19.43,3.43,10.29,28.57,1.71,1.14,22.29,0,0
2012,2012-05-01,2012-05-07,6,1,1575,21.71,23.43,43.43,111.43,94.29,40,24,37.14,22.29,0.57,13.71,1.71,0,0
2012,2012-05-08,2012-05-14,6,1,1582,18.86,21.14,37.14,91.43,43.43,24.57,9.71,29.14,17.14,1.14,16.57,5.71,0,0
2012,2012-05-15,2012-05-21,6,1,1589,1.71,72.29,8,5.14,14.86,7.14,0.29,10.57,34.57,10.86,3.71,4.57,0,0
2012,2012-05-22,2012-05-28,6,1,1596,1.43,17.43,2.86,4.29,12,8.29,1.14,12.86,39.71,1.43,4.57,1.14,0,0
2012,2012-05-29,2012-06-04,6,1,1603,4,24.57,18.29,22.29,48.57,21.71,1.71,10.29,27.43,12,5.71,4.57,0,0
2012,2012-06-05,2012-06-11,6,1,1610,1.71,7.71,3.14,2.57,16.29,8,0,2,11.14,0.86,1.43,0.86,0,0
2012,2012-06-12,2012-06-18,6,1,1617,3.43,13.71,9.71,16.86,26.86,14.29,0.29,2.29,22,4.86,1.14,2.57,0,0
2012,2012-06-19,2012-06-25,6,1,1624,0.57,6.29,3.71,5.14,12.29,4.29,0,1.43,9.14,6.86,1.14,4.57,0,0
2012,2012-06-26,2012-07-02,6,1,1631,1.14,4.57,2.86,24.57,58.86,78.86,0,8,6.29,3.43,5.71,1.14,0,0
2012,2012-07-03,2012-07-09,6,1,1638,6.86,14.29,20,106.86,126.29,124,0.57,28.57,13.14,0.57,10.86,1.71,0,0
2012,2012-07-10,2012-07-16,6,1,1645,0.29,0,0,1.14,2.86,2,0,0,0,0,0.29,0,0,0
2012,2012-07-17,2012-07-23,6,1,1652,0.29,0.29,1.14,2.86,5.43,5.71,0.29,0.57,1.14,0.57,1.71,0.29,0,0
2012,2012-07-24,2012-07-30,6,1,1659,0.57,8.29,3.43,8.86,12,8.86,0,0.86,6.57,1.71,1.14,0.29,0,0
2012,2012-07-31,2012-08-06,6,1,1666,1.43,13.43,2.86,9.71,30.57,22.29,0.29,4,8.57,2,0.86,0,0,0
2012,2012-08-07,2012-08-13,6,2,1673,2.86,56,15.43,53.14,138.86,96,0,10.86,50.86,23.43,3.43,5.14,0,0
2012,2012-08-15,2012-08-28,13,1,1688,1.14,22,9.14,37.14,56,24.29,0.29,2.86,15.43,16.57,0,1.43,0,0
2012,2012-08-29,2012-09-11,13,1,1702,2.29,4.86,6,69.43,76,28.29,0,3.14,17.14,0.57,0.29,0.29,0,0
2012,2012-09-12,2012-09-25,13,1,1716,1.43,18.57,8.86,34.29,38,22.57,0,1.71,15.43,2.57,2.57,0.57,0,0
2012,2012-09-26,2012-10-09,13,1,1730,25.43,11.14,3.14,9.14,35.71,20.57,0.57,10.29,15.43,3.43,1.14,0.57,0,0
2012,2012-10-10,2012-10-23,13,1,1744,5.43,20.57,5.43,18.57,16.57,14,0.29,4,7.71,1.14,0.86,0,0,0
2012,2012-10-24,2012-11-06,13,1,1758,6,4.29,1.14,8.29,12.86,14.14,2.14,3.43,4.29,0.14,1.14,0,0,0
2012,2012-11-07,2012-11-13,6,1,1765,12,34.86,12.57,93.71,49.14,44.57,22.86,6.29,12.57,0.57,1.71,0,0,0
