open,close,middle,doy,cum_days,resolution,next_open,sst,G_menardii,G_siphonifera,O_universa,G_sacculifer,G_ruber_pink,G_ruber_white,P_obliquiloculata,N_dutertrei,G_calida,G_crassaformis,G_glutinata,G_truncatulinoides,G_bulloides,G_falconensis
21/07/08,28/07/08,25/07/08,207,196,7,3,28.61124954,1.43,5.71,16.29,17.43,80.57,2.86,0.29,4.57,5.43,5.43,4,0.86,0,0
31/07/08,07/08/08,04/08/08,217,206,7,0,29.11125336,0.57,18.86,7.43,59.43,83.43,2.29,0,20,1.71,7.43,5.71,0.57,0,0
07/08/08,14/08/08,11/08/08,224,213,7,0,28.7962471,0.29,11.43,16.57,14.29,31.43,2.86,0,5.14,5.14,3.43,0.29,0.29,0,0
14/08/08,21/08/08,18/08/08,231,220,7,0,29.18750153,0.86,4.86,7.71,7.43,19.71,0.86,0,3.71,4.57,1.71,2.29,0,0,0.29
21/08/08,28/08/08,25/08/08,238,227,7,0,29.49374924,0.57,5.71,2,4,22.86,2.29,0,1.71,4.57,2.86,1.71,0.29,0,0
28/08/08,04/09/08,01/09/08,245,234,7,0,29.57750092,0,15.43,0.57,4.86,14.57,2.29,0,1.43,16.29,5.14,0.86,0,0,0
04/09/08,11/09/08,08/09/08,252,241,7,0,28.66750107,0,6.57,1.71,6,26.86,5.43,0,2,8.57,6.57,0.57,0,0,0
11/09/08,18/09/08,15/09/08,259,248,7,0,27.4837471,0.29,7.43,5.71,15.71,30.57,1.43,0.29,2.29,6.57,3.43,0,0.29,0,0
18/09/08,25/09/08,22/09/08,266,255,7,0,26.97250137,5.14,3.43,2.57,10.86,12,3.14,6,25.14,3.14,3.71,4.29,0.29,0.29,0
25/09/08,02/10/08,29/09/08,273,262,7,0,26.85750351,0.29,31.14,5.43,9.14,15.14,0.86,14.29,22.86,9.43,1.71,2.29,0.29,0.86,0
