"open","cum_days","G_menardii","G_siphonifera","O_universa","G_sacculifer","G_ruber_pink","G_ruber_white","P_obliquiloculata","N_dutertrei","G_calida","G_crassaformis","G_glutinata","G_truncatulinoides","G_bulloides","G_falconensis","total_abund"
2010-04-07,821,0.0128867271724415,0.0587173444316301,0.00717043574186431,0.0186030186030186,0.0243694529408815,0.0730582159153588,0.0745123602266459,0.0830867973725117,0.511457654314797,0.00285814571528857,0.0472847615704759,0.0343980343980344,0.0515970515970516,0,199.43
2010-04-14,828,0.0070890343049772,0.0368332341860004,0.00567618481062859,0.0240680150703946,0.165724767003768,0.12606583382907,0.0198294665873488,0.0453351179853262,0.283288717033512,0.0240680150703946,0.0311570493753718,0.189792782074162,0.0410717826690462,0,403.44
2010-04-21,835,0.0215472808186458,0.0862142659593191,0.0100570738943504,0.0560430442762678,0.251426847358761,0.280164936011867,0.0301712216830513,0.0459859703819174,0.153722374475146,0.0186810147587559,0.0258718225932165,0.017247881728811,0.00286626605988987,0,397.73
2010-04-28,842,0.0462867944909533,0.0339724547664056,0.0709694842019984,0.145071563597083,0.163597083445855,0.154307318390494,0.0339724547664056,0.0709694842019984,0.135781798541723,0.0339724547664056,0.0462867944909533,0.0648123143397245,0,0,185.15
2010-05-05,849,0,0.0379310344827586,0.0530503978779841,0.128912466843501,0.0984084880636605,0.106100795755968,0.0151193633952255,0.0453580901856764,0.257559681697613,0.151458885941645,0.00769230769230769,0.0984084880636605,0,0,37.7
2010-05-12,856,0.0034758216964449,0.128910299408501,0.0522592841026892,0.0696993719129215,0.104518568205378,0.261357399841454,0,0.0209159095066772,0.254344777120556,0.027867552899567,0.0418318190133545,0.0348191962924569,0,0,163.99
2010-05-19,863,0.00455187568670538,0.0673363679171245,0.0313922461152095,0.049285826400879,0.0896248626589232,0.215193847119761,0,0.0134986658295401,0.313922461152095,0.121017108774133,0.0538377020875844,0.0403390362580443,0,0,63.71
2010-05-26,870,0.0198354265915981,0.0371589432654829,0.022260718925942,0.0718059766132525,0.20294499783456,0.299436985708099,0,0.0297098310957124,0.210394110004331,0.0544824599393677,0.0371589432654829,0.0148116067561715,0,0,115.45
2010-06-02,877,0.00658350658350658,0.0527835527835528,0.0165165165165165,0.0495495495495495,0.211249711249711,0.363016863016863,0,0.0396165396165396,0.122083622083622,0.0527835527835528,0.0792330792330792,0.00658350658350658,0,0,86.58
2010-06-09,884,0,0.08585533376261,0,0.0491521785790942,0.288259283107963,0.251341489590041,0,0.00622451169778923,0.177935179223009,0.0613865636402662,0.0673964370036489,0.00622451169778923,0.00622451169778923,0,46.59
2010-06-16,891,0.009288260071282,0.0524894697051517,0.0308888648882169,0.0740900745220866,0.274651690247327,0.274651690247327,0.00615617237282644,0.0184685171184793,0.197537531050869,0.0308888648882169,0.0277567771897613,0.00313208769845556,0,0,92.59
2010-06-23,898,0.00678652220502441,0.085010120252411,0.00678652220502441,0.0578640314323134,0.180259554708894,0.278961781164424,0.00678652220502441,0.0340516728181926,0.238123586141207,0.0679842838433147,0.0238123586141207,0.00678652220502441,0.00678652220502441,0,83.99
