"temp_K","day"
301.980010986328,2010-07-01
301.980010986328,2010-07-02
301.989990234375,2010-07-03
302.25,2010-07-04
302.140014648438,2010-07-05
301.910003662109,2010-07-06
301.720001220703,2010-07-07
301.570007324219,2010-07-08
302.320007324219,2010-07-09
303.429992675781,2010-07-10
302.929992675781,2010-07-11
302.679992675781,2010-07-12
302.850006103516,2010-07-13
303.079986572266,2010-07-14
303.440002441406,2010-07-15
303.350006103516,2010-07-16
303.209991455078,2010-07-17
303.179992675781,2010-07-18
302.799987792969,2010-07-19
302.839996337891,2010-07-20
302.899993896484,2010-07-21
302.75,2010-07-22
302.589996337891,2010-07-23
302.859985351562,2010-07-24
302.700012207031,2010-07-25
302.899993896484,2010-07-26
302.920013427734,2010-07-27
302.829986572266,2010-07-28
302.970001220703,2010-07-29
303.179992675781,2010-07-30
303.239990234375,2010-07-31
303.350006103516,2010-08-01
303.5,2010-08-02
303.809997558594,2010-08-03
304.149993896484,2010-08-04
304.079986572266,2010-08-05
304.130004882812,2010-08-06
304.149993896484,2010-08-07
304.130004882812,2010-08-08
303.880004882812,2010-08-09
303.720001220703,2010-08-10
303.959991455078,2010-08-11
304.019989013672,2010-08-12
303.5,2010-08-13
303.350006103516,2010-08-14
303.549987792969,2010-08-15
303.630004882812,2010-08-16
303.730010986328,2010-08-17
302.540008544922,2010-08-18
302.869995117188,2010-08-19
303.260009765625,2010-08-20
303.470001220703,2010-08-21
303.679992675781,2010-08-22
303.549987792969,2010-08-23
303.540008544922,2010-08-24
303.760009765625,2010-08-25
303.700012207031,2010-08-26
303.429992675781,2010-08-27
302.890014648438,2010-08-28
302.829986572266,2010-08-29
302.809997558594,2010-08-30
302.720001220703,2010-08-31
302.589996337891,2010-09-01
302.510009765625,2010-09-02
302.630004882812,2010-09-03
302.589996337891,2010-09-04
302.570007324219,2010-09-05
302.070007324219,2010-09-06
302.160003662109,2010-09-07
302.209991455078,2010-09-08
302.299987792969,2010-09-09
302.339996337891,2010-09-10
302.660003662109,2010-09-11
302.679992675781,2010-09-12
302.630004882812,2010-09-13
302.540008544922,2010-09-14
302.369995117188,2010-09-15
302.179992675781,2010-09-16
302.369995117188,2010-09-17
302.619995117188,2010-09-18
302.600006103516,2010-09-19
302.510009765625,2010-09-20
302.399993896484,2010-09-21
302.269989013672,2010-09-22
302.109985351562,2010-09-23
302.130004882812,2010-09-24
302.179992675781,2010-09-25
302.130004882812,2010-09-26
301.950012207031,2010-09-27
301.970001220703,2010-09-28
301.899993896484,2010-09-29
301.649993896484,2010-09-30
301.540008544922,2010-10-01
301.540008544922,2010-10-02
301.399993896484,2010-10-03
301.380004882812,2010-10-04
301.089996337891,2010-10-05
300.809997558594,2010-10-06
300.589996337891,2010-10-07
300.510009765625,2010-10-08
300.529998779297,2010-10-09
300.440002441406,2010-10-10
300.399993896484,2010-10-11
300.529998779297,2010-10-12
300.429992675781,2010-10-13
300.170013427734,2010-10-14
300.019989013672,2010-10-15
299.920013427734,2010-10-16
299.869995117188,2010-10-17
299.950012207031,2010-10-18
299.989990234375,2010-10-19
299.839996337891,2010-10-20
299.769989013672,2010-10-21
299.940002441406,2010-10-22
299.869995117188,2010-10-23
299.799987792969,2010-10-24
299.799987792969,2010-10-25
299.850006103516,2010-10-26
300.070007324219,2010-10-27
300.070007324219,2010-10-28
299.779998779297,2010-10-29
299.700012207031,2010-10-30
299.619995117188,2010-10-31
299.640014648438,2010-11-01
299.630004882812,2010-11-02
299.459991455078,2010-11-03
299.239990234375,2010-11-04
299.209991455078,2010-11-05
299.109985351562,2010-11-06
298.959991455078,2010-11-07
298.690002441406,2010-11-08
298.519989013672,2010-11-09
298.450012207031,2010-11-10
298.320007324219,2010-11-11
298.140014648438,2010-11-12
298.190002441406,2010-11-13
298.190002441406,2010-11-14
298.170013427734,2010-11-15
298.079986572266,2010-11-16
297.75,2010-11-17
297.799987792969,2010-11-18
297.940002441406,2010-11-19
297.950012207031,2010-11-20
298,2010-11-21
297.890014648438,2010-11-22
297.839996337891,2010-11-23
297.859985351562,2010-11-24
297.75,2010-11-25
297.739990234375,2010-11-26
297.660003662109,2010-11-27
297.529998779297,2010-11-28
297.480010986328,2010-11-29
297.049987792969,2010-11-30
297.040008544922,2010-12-01
296.980010986328,2010-12-02
296.880004882812,2010-12-03
296.709991455078,2010-12-04
296.480010986328,2010-12-05
296.630004882812,2010-12-06
296.630004882812,2010-12-07
296.190002441406,2010-12-08
295.769989013672,2010-12-09
295.790008544922,2010-12-10
295.859985351562,2010-12-11
295.799987792969,2010-12-12
295.75,2010-12-13
295.600006103516,2010-12-14
295.390014648438,2010-12-15
295.399993896484,2010-12-16
295.420013427734,2010-12-17
295.320007324219,2010-12-18
295.290008544922,2010-12-19
295.029998779297,2010-12-20
294.950012207031,2010-12-21
294.989990234375,2010-12-22
295,2010-12-23
294.989990234375,2010-12-24
294.970001220703,2010-12-25
294.790008544922,2010-12-26
294.480010986328,2010-12-27
294.320007324219,2010-12-28
294.299987792969,2010-12-29
294.109985351562,2010-12-30
294.459991455078,2010-12-31
