"temp_K","day"
295.730010986328,2009-01-01
295.910003662109,2009-01-02
295.989990234375,2009-01-03
296.380004882812,2009-01-04
296.369995117188,2009-01-05
296.390014648438,2009-01-06
296.359985351562,2009-01-07
296.299987792969,2009-01-08
296.170013427734,2009-01-09
296.179992675781,2009-01-10
296.149993896484,2009-01-11
296.269989013672,2009-01-12
296.519989013672,2009-01-13
296.440002441406,2009-01-14
296.410003662109,2009-01-15
296.190002441406,2009-01-16
296.089996337891,2009-01-17
296.380004882812,2009-01-18
296.989990234375,2009-01-19
296.959991455078,2009-01-20
297.200012207031,2009-01-21
297.320007324219,2009-01-22
297.299987792969,2009-01-23
297.140014648438,2009-01-24
298.119995117188,2009-01-25
298.420013427734,2009-01-26
298.410003662109,2009-01-27
298.230010986328,2009-01-28
297.929992675781,2009-01-29
297.369995117188,2009-01-30
297.140014648438,2009-01-31
296.829986572266,2009-02-01
297.290008544922,2009-02-02
297.329986572266,2009-02-03
297.100006103516,2009-02-04
297.399993896484,2009-02-05
297.350006103516,2009-02-06
297.320007324219,2009-02-07
296.869995117188,2009-02-08
296.869995117188,2009-02-09
297,2009-02-10
296.869995117188,2009-02-11
296.450012207031,2009-02-12
296.220001220703,2009-02-13
296.160003662109,2009-02-14
295.929992675781,2009-02-15
295.869995117188,2009-02-16
295.739990234375,2009-02-17
295.829986572266,2009-02-18
296.170013427734,2009-02-19
296.260009765625,2009-02-20
296.220001220703,2009-02-21
296.209991455078,2009-02-22
296.100006103516,2009-02-23
295.709991455078,2009-02-24
295.589996337891,2009-02-25
295.369995117188,2009-02-26
295.760009765625,2009-02-27
296.329986572266,2009-02-28
296.660003662109,2009-03-01
296.910003662109,2009-03-02
296.920013427734,2009-03-03
296.390014648438,2009-03-04
296.149993896484,2009-03-05
296.109985351562,2009-03-06
295.829986572266,2009-03-07
295.839996337891,2009-03-08
296.220001220703,2009-03-09
296.829986572266,2009-03-10
297.200012207031,2009-03-11
297.350006103516,2009-03-12
297.079986572266,2009-03-13
296.660003662109,2009-03-14
296.429992675781,2009-03-15
296.200012207031,2009-03-16
296.200012207031,2009-03-17
296.200012207031,2009-03-18
296.529998779297,2009-03-19
296.739990234375,2009-03-20
296.760009765625,2009-03-21
296.529998779297,2009-03-22
296.609985351562,2009-03-23
296.809997558594,2009-03-24
297.130004882812,2009-03-25
297.380004882812,2009-03-26
297.109985351562,2009-03-27
297.019989013672,2009-03-28
297.049987792969,2009-03-29
297.170013427734,2009-03-30
297.070007324219,2009-03-31
296.839996337891,2009-04-01
297.109985351562,2009-04-02
297.010009765625,2009-04-03
297.079986572266,2009-04-04
296.899993896484,2009-04-05
296.700012207031,2009-04-06
296.260009765625,2009-04-07
295.899993896484,2009-04-08
295.880004882812,2009-04-09
295.799987792969,2009-04-10
295.859985351562,2009-04-11
296.140014648438,2009-04-12
296.130004882812,2009-04-13
295.829986572266,2009-04-14
295.850006103516,2009-04-15
295.940002441406,2009-04-16
296.140014648438,2009-04-17
296.070007324219,2009-04-18
295.920013427734,2009-04-19
296.420013427734,2009-04-20
296.470001220703,2009-04-21
296.559997558594,2009-04-22
296.540008544922,2009-04-23
296.700012207031,2009-04-24
296.779998779297,2009-04-25
296.589996337891,2009-04-26
296.339996337891,2009-04-27
296.380004882812,2009-04-28
296.600006103516,2009-04-29
297.179992675781,2009-04-30
297.299987792969,2009-05-01
297.369995117188,2009-05-02
297.339996337891,2009-05-03
297.630004882812,2009-05-04
298.019989013672,2009-05-05
298.220001220703,2009-05-06
298.559997558594,2009-05-07
298.779998779297,2009-05-08
298.890014648438,2009-05-09
298.899993896484,2009-05-10
299.140014648438,2009-05-11
299.579986572266,2009-05-12
299.640014648438,2009-05-13
299.600006103516,2009-05-14
299.679992675781,2009-05-15
299.510009765625,2009-05-16
299.230010986328,2009-05-17
299.130004882812,2009-05-18
298.869995117188,2009-05-19
298.609985351562,2009-05-20
298.489990234375,2009-05-21
298.160003662109,2009-05-22
298.209991455078,2009-05-23
298.429992675781,2009-05-24
298.579986572266,2009-05-25
298.649993896484,2009-05-26
299.119995117188,2009-05-27
299.299987792969,2009-05-28
299.220001220703,2009-05-29
298.989990234375,2009-05-30
299.260009765625,2009-05-31
299.459991455078,2009-06-01
299.459991455078,2009-06-02
298.980010986328,2009-06-03
298.890014648438,2009-06-04
298.820007324219,2009-06-05
298.880004882812,2009-06-06
298.950012207031,2009-06-07
299.410003662109,2009-06-08
299.869995117188,2009-06-09
300.369995117188,2009-06-10
300.440002441406,2009-06-11
300.350006103516,2009-06-12
300.420013427734,2009-06-13
300.720001220703,2009-06-14
300.989990234375,2009-06-15
301.290008544922,2009-06-16
301.339996337891,2009-06-17
301.549987792969,2009-06-18
301.769989013672,2009-06-19
301.820007324219,2009-06-20
301.989990234375,2009-06-21
302.260009765625,2009-06-22
302.179992675781,2009-06-23
302.040008544922,2009-06-24
301.790008544922,2009-06-25
301.950012207031,2009-06-26
302,2009-06-27
301.809997558594,2009-06-28
302.5,2009-06-29
302.760009765625,2009-06-30
