"temp_K","day"
296.309997558594,2013-01-01
296.350006103516,2013-01-02
296.350006103516,2013-01-03
295.459991455078,2013-01-04
294.880004882812,2013-01-05
295.089996337891,2013-01-06
295.299987792969,2013-01-07
296.089996337891,2013-01-08
296.190002441406,2013-01-09
296.190002441406,2013-01-10
296.149993896484,2013-01-11
296.200012207031,2013-01-12
296.269989013672,2013-01-13
296.200012207031,2013-01-14
296.179992675781,2013-01-15
296.290008544922,2013-01-16
296.190002441406,2013-01-17
296.339996337891,2013-01-18
296.559997558594,2013-01-19
296.359985351562,2013-01-20
296.279998779297,2013-01-21
296.200012207031,2013-01-22
296.160003662109,2013-01-23
296.059997558594,2013-01-24
295.989990234375,2013-01-25
296.209991455078,2013-01-26
296.149993896484,2013-01-27
296.170013427734,2013-01-28
296.290008544922,2013-01-29
296.279998779297,2013-01-30
296.459991455078,2013-01-31
296.519989013672,2013-02-01
295.779998779297,2013-02-02
295.820007324219,2013-02-03
295.859985351562,2013-02-04
295.679992675781,2013-02-05
295.480010986328,2013-02-06
295.549987792969,2013-02-07
295.609985351562,2013-02-08
295.5,2013-02-09
295.269989013672,2013-02-10
295.640014648438,2013-02-11
295.75,2013-02-12
295.609985351562,2013-02-13
295.170013427734,2013-02-14
295.049987792969,2013-02-15
295.119995117188,2013-02-16
295.109985351562,2013-02-17
294.899993896484,2013-02-18
294.640014648438,2013-02-19
294.720001220703,2013-02-20
294.739990234375,2013-02-21
294.709991455078,2013-02-22
294.450012207031,2013-02-23
294.049987792969,2013-02-24
294.230010986328,2013-02-25
295.160003662109,2013-02-26
295.600006103516,2013-02-27
295.890014648438,2013-02-28
295.929992675781,2013-03-01
295.369995117188,2013-03-02
295.140014648438,2013-03-03
294.790008544922,2013-03-04
294.809997558594,2013-03-05
294.510009765625,2013-03-06
294.559997558594,2013-03-07
294.609985351562,2013-03-08
294.660003662109,2013-03-09
294.850006103516,2013-03-10
294.920013427734,2013-03-11
294.890014648438,2013-03-12
294.920013427734,2013-03-13
294.940002441406,2013-03-14
295.079986572266,2013-03-15
295.179992675781,2013-03-16
295.230010986328,2013-03-17
295.359985351562,2013-03-18
295.5,2013-03-19
295.529998779297,2013-03-20
295.700012207031,2013-03-21
295.589996337891,2013-03-22
295.119995117188,2013-03-23
295.109985351562,2013-03-24
294.940002441406,2013-03-25
294.869995117188,2013-03-26
294.929992675781,2013-03-27
294.760009765625,2013-03-28
294.760009765625,2013-03-29
294.839996337891,2013-03-30
295.070007324219,2013-03-31
295.519989013672,2013-04-01
295.670013427734,2013-04-02
295.609985351562,2013-04-03
294.589996337891,2013-04-04
294.5,2013-04-05
294.690002441406,2013-04-06
294.829986572266,2013-04-07
295.059997558594,2013-04-08
295.420013427734,2013-04-09
295.390014648438,2013-04-10
295.170013427734,2013-04-11
294.989990234375,2013-04-12
294.940002441406,2013-04-13
295.019989013672,2013-04-14
295.369995117188,2013-04-15
295.799987792969,2013-04-16
296.329986572266,2013-04-17
296.690002441406,2013-04-18
296.619995117188,2013-04-19
296.109985351562,2013-04-20
295.940002441406,2013-04-21
296.190002441406,2013-04-22
296.390014648438,2013-04-23
296.429992675781,2013-04-24
296.970001220703,2013-04-25
297.220001220703,2013-04-26
297.109985351562,2013-04-27
297.170013427734,2013-04-28
297.209991455078,2013-04-29
297.149993896484,2013-04-30
296.799987792969,2013-05-01
296.940002441406,2013-05-02
297,2013-05-03
296.899993896484,2013-05-04
296.600006103516,2013-05-05
296.720001220703,2013-05-06
296.540008544922,2013-05-07
296.869995117188,2013-05-08
296.880004882812,2013-05-09
296.899993896484,2013-05-10
297.160003662109,2013-05-11
297.209991455078,2013-05-12
297.089996337891,2013-05-13
297.190002441406,2013-05-14
297.480010986328,2013-05-15
297.579986572266,2013-05-16
297.660003662109,2013-05-17
298.049987792969,2013-05-18
298.359985351562,2013-05-19
298.5,2013-05-20
298.690002441406,2013-05-21
298.929992675781,2013-05-22
299.049987792969,2013-05-23
299.920013427734,2013-05-24
300.059997558594,2013-05-25
299.850006103516,2013-05-26
299.720001220703,2013-05-27
299.640014648438,2013-05-28
299.670013427734,2013-05-29
299.75,2013-05-30
299.820007324219,2013-05-31
299.950012207031,2013-06-01
300.089996337891,2013-06-02
300.440002441406,2013-06-03
300.399993896484,2013-06-04
300.5,2013-06-05
300.510009765625,2013-06-06
300.799987792969,2013-06-07
300.869995117188,2013-06-08
300.899993896484,2013-06-09
300.829986572266,2013-06-10
300.769989013672,2013-06-11
301.179992675781,2013-06-12
301.549987792969,2013-06-13
301.660003662109,2013-06-14
301.410003662109,2013-06-15
301.559997558594,2013-06-16
301.850006103516,2013-06-17
301.989990234375,2013-06-18
302.119995117188,2013-06-19
302.420013427734,2013-06-20
302.570007324219,2013-06-21
302.600006103516,2013-06-22
302.359985351562,2013-06-23
302.200012207031,2013-06-24
302.279998779297,2013-06-25
302.369995117188,2013-06-26
302.549987792969,2013-06-27
302.869995117188,2013-06-28
302.829986572266,2013-06-29
302.709991455078,2013-06-30
