"temp_K","day"
302.829986572266,2009-07-01
302.760009765625,2009-07-02
303.100006103516,2009-07-03
303.420013427734,2009-07-04
303.200012207031,2009-07-05
302.910003662109,2009-07-06
302.670013427734,2009-07-07
302.609985351562,2009-07-08
302.380004882812,2009-07-09
302.600006103516,2009-07-10
302.839996337891,2009-07-11
302.809997558594,2009-07-12
303.209991455078,2009-07-13
303.519989013672,2009-07-14
303.109985351562,2009-07-15
302.470001220703,2009-07-16
302.290008544922,2009-07-17
302.369995117188,2009-07-18
302.670013427734,2009-07-19
302.869995117188,2009-07-20
302.75,2009-07-21
302.25,2009-07-22
302.410003662109,2009-07-23
302.640014648438,2009-07-24
302.940002441406,2009-07-25
302.869995117188,2009-07-26
302.799987792969,2009-07-27
303.230010986328,2009-07-28
303.489990234375,2009-07-29
303.529998779297,2009-07-30
303.480010986328,2009-07-31
303.440002441406,2009-08-01
303.450012207031,2009-08-02
303.549987792969,2009-08-03
303.769989013672,2009-08-04
304.019989013672,2009-08-05
303.980010986328,2009-08-06
304.109985351562,2009-08-07
304.119995117188,2009-08-08
304.299987792969,2009-08-09
304.230010986328,2009-08-10
304.260009765625,2009-08-11
304.369995117188,2009-08-12
303.920013427734,2009-08-13
304.100006103516,2009-08-14
304.089996337891,2009-08-15
303.859985351562,2009-08-16
303.709991455078,2009-08-17
303.690002441406,2009-08-18
303.670013427734,2009-08-19
303.75,2009-08-20
303.329986572266,2009-08-21
303.339996337891,2009-08-22
303.209991455078,2009-08-23
303.019989013672,2009-08-24
302.970001220703,2009-08-25
302.959991455078,2009-08-26
303.040008544922,2009-08-27
303.140014648438,2009-08-28
302.940002441406,2009-08-29
302.089996337891,2009-08-30
301.869995117188,2009-08-31
302.470001220703,2009-09-01
302.75,2009-09-02
302.899993896484,2009-09-03
303.279998779297,2009-09-04
303.260009765625,2009-09-05
303.029998779297,2009-09-06
302.859985351562,2009-09-07
302.940002441406,2009-09-08
303.059997558594,2009-09-09
303.230010986328,2009-09-10
303.359985351562,2009-09-11
303.109985351562,2009-09-12
303.029998779297,2009-09-13
302.959991455078,2009-09-14
302.859985351562,2009-09-15
302.799987792969,2009-09-16
302.880004882812,2009-09-17
303.019989013672,2009-09-18
303.570007324219,2009-09-19
303.660003662109,2009-09-20
303.600006103516,2009-09-21
303.440002441406,2009-09-22
303.279998779297,2009-09-23
303.200012207031,2009-09-24
302.989990234375,2009-09-25
303.079986572266,2009-09-26
303.049987792969,2009-09-27
303.170013427734,2009-09-28
303.119995117188,2009-09-29
302.829986572266,2009-09-30
302.690002441406,2009-10-01
302.709991455078,2009-10-02
302.429992675781,2009-10-03
302.480010986328,2009-10-04
302.220001220703,2009-10-05
302.239990234375,2009-10-06
302.399993896484,2009-10-07
302.429992675781,2009-10-08
302.200012207031,2009-10-09
302.079986572266,2009-10-10
301.839996337891,2009-10-11
301.779998779297,2009-10-12
302.160003662109,2009-10-13
301.959991455078,2009-10-14
301.929992675781,2009-10-15
302.119995117188,2009-10-16
302.339996337891,2009-10-17
301.649993896484,2009-10-18
301.339996337891,2009-10-19
301.109985351562,2009-10-20
301.079986572266,2009-10-21
301.570007324219,2009-10-22
301.309997558594,2009-10-23
301.230010986328,2009-10-24
301.320007324219,2009-10-25
302.609985351562,2009-10-26
303.029998779297,2009-10-27
301.709991455078,2009-10-28
301.260009765625,2009-10-29
300.700012207031,2009-10-30
300.369995117188,2009-10-31
300.079986572266,2009-11-01
300.059997558594,2009-11-02
299.869995117188,2009-11-03
299.739990234375,2009-11-04
299.970001220703,2009-11-05
299.679992675781,2009-11-06
299.109985351562,2009-11-07
299.450012207031,2009-11-08
299.529998779297,2009-11-09
299.119995117188,2009-11-10
298.899993896484,2009-11-11
298.790008544922,2009-11-12
298.559997558594,2009-11-13
298.510009765625,2009-11-14
298.480010986328,2009-11-15
298.570007324219,2009-11-16
298.049987792969,2009-11-17
296.929992675781,2009-11-18
296.959991455078,2009-11-19
296.880004882812,2009-11-20
296.480010986328,2009-11-21
296.510009765625,2009-11-22
296.309997558594,2009-11-23
295.760009765625,2009-11-24
295.540008544922,2009-11-25
295.390014648438,2009-11-26
295.660003662109,2009-11-27
296.029998779297,2009-11-28
295.890014648438,2009-11-29
296.070007324219,2009-11-30
296.109985351562,2009-12-01
295.820007324219,2009-12-02
296.059997558594,2009-12-03
296.579986572266,2009-12-04
296.390014648438,2009-12-05
296,2009-12-06
296.019989013672,2009-12-07
296.089996337891,2009-12-08
296.109985351562,2009-12-09
296.209991455078,2009-12-10
296.390014648438,2009-12-11
296.640014648438,2009-12-12
296.779998779297,2009-12-13
296.720001220703,2009-12-14
296.790008544922,2009-12-15
296.75,2009-12-16
296.429992675781,2009-12-17
295.929992675781,2009-12-18
295.720001220703,2009-12-19
295.440002441406,2009-12-20
295.059997558594,2009-12-21
295.179992675781,2009-12-22
295.410003662109,2009-12-23
295.399993896484,2009-12-24
295.5,2009-12-25
295.609985351562,2009-12-26
295.279998779297,2009-12-27
294.959991455078,2009-12-28
294.75,2009-12-29
294.799987792969,2009-12-30
294.700012207031,2009-12-31
