"temp_K","day"
294.700012207031,2011-01-01
294.739990234375,2011-01-02
294.730010986328,2011-01-03
294.420013427734,2011-01-04
294.420013427734,2011-01-05
294.339996337891,2011-01-06
294.25,2011-01-07
294.290008544922,2011-01-08
294.260009765625,2011-01-09
294.359985351562,2011-01-10
294.179992675781,2011-01-11
294.149993896484,2011-01-12
294.040008544922,2011-01-13
293.760009765625,2011-01-14
293.519989013672,2011-01-15
293.390014648438,2011-01-16
293.359985351562,2011-01-17
293.589996337891,2011-01-18
293.570007324219,2011-01-19
293.290008544922,2011-01-20
293.230010986328,2011-01-21
293.390014648438,2011-01-22
293.269989013672,2011-01-23
293.029998779297,2011-01-24
293.100006103516,2011-01-25
293.049987792969,2011-01-26
292.980010986328,2011-01-27
293.070007324219,2011-01-28
293.299987792969,2011-01-29
293.040008544922,2011-01-30
292.970001220703,2011-01-31
292.970001220703,2011-02-01
292.910003662109,2011-02-02
292.739990234375,2011-02-03
292.709991455078,2011-02-04
292.309997558594,2011-02-05
292.220001220703,2011-02-06
292.290008544922,2011-02-07
292.670013427734,2011-02-08
292.980010986328,2011-02-09
293.170013427734,2011-02-10
293.049987792969,2011-02-11
292.940002441406,2011-02-12
292.970001220703,2011-02-13
293.089996337891,2011-02-14
292.970001220703,2011-02-15
292.920013427734,2011-02-16
292.980010986328,2011-02-17
293.190002441406,2011-02-18
293.399993896484,2011-02-19
293.480010986328,2011-02-20
293.529998779297,2011-02-21
293.589996337891,2011-02-22
293.760009765625,2011-02-23
293.950012207031,2011-02-24
293.980010986328,2011-02-25
293.859985351562,2011-02-26
294.369995117188,2011-02-27
294.619995117188,2011-02-28
294.380004882812,2011-03-01
293.220001220703,2011-03-02
293.809997558594,2011-03-03
294.269989013672,2011-03-04
294.470001220703,2011-03-05
294.420013427734,2011-03-06
294.230010986328,2011-03-07
294.209991455078,2011-03-08
294.260009765625,2011-03-09
294.220001220703,2011-03-10
294.179992675781,2011-03-11
294.329986572266,2011-03-12
294.429992675781,2011-03-13
294.739990234375,2011-03-14
294.859985351562,2011-03-15
294.809997558594,2011-03-16
295.019989013672,2011-03-17
295.440002441406,2011-03-18
295.809997558594,2011-03-19
295.649993896484,2011-03-20
295.959991455078,2011-03-21
296.089996337891,2011-03-22
295.980010986328,2011-03-23
296.190002441406,2011-03-24
296.579986572266,2011-03-25
296.640014648438,2011-03-26
296.579986572266,2011-03-27
296.700012207031,2011-03-28
296.730010986328,2011-03-29
296.869995117188,2011-03-30
297.420013427734,2011-03-31
297.720001220703,2011-04-01
297.709991455078,2011-04-02
297.640014648438,2011-04-03
297.369995117188,2011-04-04
296.730010986328,2011-04-05
296.480010986328,2011-04-06
296.739990234375,2011-04-07
296.790008544922,2011-04-08
296.899993896484,2011-04-09
297.019989013672,2011-04-10
297.140014648438,2011-04-11
296.920013427734,2011-04-12
296.950012207031,2011-04-13
297.040008544922,2011-04-14
297.079986572266,2011-04-15
297.390014648438,2011-04-16
297.309997558594,2011-04-17
297.170013427734,2011-04-18
297.359985351562,2011-04-19
297.589996337891,2011-04-20
297.779998779297,2011-04-21
298.040008544922,2011-04-22
297.940002441406,2011-04-23
297.950012207031,2011-04-24
298.019989013672,2011-04-25
297.709991455078,2011-04-26
297.690002441406,2011-04-27
297.679992675781,2011-04-28
297.779998779297,2011-04-29
297.820007324219,2011-04-30
298.200012207031,2011-05-01
298.399993896484,2011-05-02
298.369995117188,2011-05-03
298.190002441406,2011-05-04
297.450012207031,2011-05-05
297.799987792969,2011-05-06
298.040008544922,2011-05-07
298.290008544922,2011-05-08
298.559997558594,2011-05-09
298.730010986328,2011-05-10
298.980010986328,2011-05-11
299.089996337891,2011-05-12
299.160003662109,2011-05-13
299.209991455078,2011-05-14
298.609985351562,2011-05-15
298.579986572266,2011-05-16
298.429992675781,2011-05-17
298.299987792969,2011-05-18
298.329986572266,2011-05-19
298.470001220703,2011-05-20
298.589996337891,2011-05-21
298.880004882812,2011-05-22
299.100006103516,2011-05-23
299.220001220703,2011-05-24
299.390014648438,2011-05-25
299.440002441406,2011-05-26
299.579986572266,2011-05-27
299.859985351562,2011-05-28
299.989990234375,2011-05-29
299.910003662109,2011-05-30
299.940002441406,2011-05-31
299.910003662109,2011-06-01
299.739990234375,2011-06-02
299.760009765625,2011-06-03
299.970001220703,2011-06-04
300.25,2011-06-05
300.649993896484,2011-06-06
301.140014648438,2011-06-07
301.160003662109,2011-06-08
300.850006103516,2011-06-09
300.850006103516,2011-06-10
300.920013427734,2011-06-11
301.429992675781,2011-06-12
302.380004882812,2011-06-13
302.200012207031,2011-06-14
301.890014648438,2011-06-15
301.890014648438,2011-06-16
301.989990234375,2011-06-17
301.989990234375,2011-06-18
302.140014648438,2011-06-19
302.109985351562,2011-06-20
302.109985351562,2011-06-21
302.140014648438,2011-06-22
302.019989013672,2011-06-23
301.589996337891,2011-06-24
301.959991455078,2011-06-25
302.019989013672,2011-06-26
302.089996337891,2011-06-27
302.100006103516,2011-06-28
302.399993896484,2011-06-29
302.279998779297,2011-06-30
