var1,var2,lag,cr_corr,cr_corr_abs,lag,cr_corr,cr_corr_abs,lag,cr_corr,cr_corr_abs
O_universa,G_falconensis,12,0.22,0.22,11,0.22,0.22,0,-0.06,0.06
G_crassaformis,G_falconensis,15,0.22,0.22,-18,0.22,0.22,0,-0.1,0.1
G_calida,G_crassaformis,-12,0.21,0.21,12,-0.18,0.18,0,0.16,0.16
G_menardii,G_ruber_pink,10,0.21,0.21,10,0.21,0.21,0,0.08,0.08
G_ruber_pink,G_calida,-7,-0.2,0.2,11,0.1,0.1,0,0.09,0.09
sst,G_sacculifer,-4,0.2,0.2,-4,0.2,0.2,0,0.17,0.17
G_ruber_pink,G_truncatulinoides,-3,-0.19,0.19,-4,-0.17,0.17,0,-0.13,0.13
G_sacculifer,G_calida,2,0.19,0.19,-7,-0.13,0.13,0,0.11,0.11
sst,G_glutinata,9,0.19,0.19,9,0.19,0.19,0,-0.09,0.09
G_siphonifera,G_ruber_white,12,0.19,0.19,10,0.18,0.18,0,0.18,0.18
G_crassaformis,G_glutinata,-8,0.18,0.18,-7,0.07,0.07,0,0.07,0.07
G_menardii,G_siphonifera,-2,0.17,0.17,10,-0.09,0.09,0,0.04,0.04
P_obliquiloculata,G_glutinata,0,0.17,0.17,-8,0.16,0.16,0,0.17,0.17
G_crassaformis,G_truncatulinoides,-5,-0.16,0.16,6,0.06,0.06,0,0.04,0.04
G_sacculifer,P_obliquiloculata,2,-0.16,0.16,4,-0.08,0.08,0,-0.03,0.03
G_sacculifer,G_truncatulinoides,2,0.16,0.16,-3,-0.13,0.13,0,-0.08,0.08
G_menardii,G_ruber_white,4,0.16,0.16,8,0.06,0.06,0,0.14,0.14
G_ruber_white,P_obliquiloculata,5,-0.16,0.16,4,-0.14,0.14,0,0.05,0.05
O_universa,G_truncatulinoides,-3,-0.15,0.15,-7,-0.15,0.15,0,-0.1,0.1
G_sacculifer,N_dutertrei,0,0.15,0.15,-9,0.14,0.14,0,0.15,0.15
P_obliquiloculata,G_bulloides,0,0.15,0.15,-1,0.11,0.11,0,0.15,0.15
G_bulloides,G_falconensis,0,0.15,0.15,-1,0.08,0.08,0,0.15,0.15
N_dutertrei,G_bulloides,1,0.15,0.15,0,0.14,0.14,0,0.14,0.14
G_ruber_white,N_dutertrei,3,-0.15,0.15,2,-0.14,0.14,0,0.12,0.12
sst,G_siphonifera,17,0.15,0.15,13,0.14,0.14,0,-0.07,0.07
G_ruber_white,G_truncatulinoides,-3,-0.14,0.14,-3,-0.14,0.14,0,-0.1,0.1
G_menardii,G_bulloides,-8,0.13,0.13,-8,0.13,0.13,0,-0.03,0.03
G_siphonifera,G_bulloides,1,0.13,0.13,15,-0.06,0.06,0,0.02,0.02
G_menardii,G_sacculifer,-10,-0.12,0.12,-11,-0.11,0.11,0,0.09,0.09
G_ruber_white,G_calida,-7,-0.12,0.12,-5,-0.09,0.09,0,0.1,0.1
G_siphonifera,P_obliquiloculata,-18,-0.11,0.11,9,-0.08,0.08,0,0.09,0.09
G_siphonifera,G_falconensis,1,0.11,0.11,0,0.11,0.11,0,0.11,0.11
G_truncatulinoides,G_bulloides,-2,0.1,0.1,16,-0.05,0.05,0,0.02,0.02
G_sacculifer,G_bulloides,16,-0.08,0.08,7,-0.07,0.07,0,-0.01,0.01
O_universa,G_bulloides,18,-0.08,0.08,2,0.07,0.07,0,-0.05,0.05
