species,corr_spline
sst,0.97
G_menardii,0.49
G_siphonifera,0.07
O_universa,0.44
G_sacculifer,0.28
G_ruber_pink,0.45
G_ruber_white,0.26
P_obliquiloculata,0.56
N_dutertrei,0.54
G_calida,0.58
G_crassaformis,0.43
G_glutinata,0.31
G_truncatulinoides,0.64
G_bulloides,0.36
G_falconensis,0.59
